ISO3,Year,mean_st
AFG,1995,0.401
ALB,1995,-0.127
DZA,1995,0.619
ASM,1995,0.813
AND,1995,1.239
AGO,1995,0.827
AIA,1995,0.476
ATG,1995,0.522
ARG,1995,0.21
ARM,1995,0.73
ABW,1995,0.573
AUS,1995,0.377
AUT,1995,0.958
AZE,1995,1.014
BHS,1995,0.767
BHR,1995,0.238
BGD,1995,0.29
BRB,1995,0.355
BLR,1995,1.501
BEL,1995,
BLZ,1995,0.657
BEN,1995,0.454
BTN,1995,0.431
BOL,1995,0.856
BIH,1995,0.304
BWA,1995,1.286
BRA,1995,0.781
VGB,1995,0.43
BRN,1995,0.334
BGR,1995,0.26
BFA,1995,0.478
BDI,1995,
CPV,1995,1.561
KHM,1995,0.58
CMR,1995,0.526
CAN,1995,0.934
CYM,1995,1.044
CAF,1995,0.28
TCD,1995,0.283
CHL,1995,-0.109
HKG,1995,-0.041
MAC,1995,-0.041
CHN,1995,0.578
COL,1995,0.431
COM,1995,0.327
COD,1995,0.462
COG,1995,0.601
COK,1995,0.522
CRI,1995,0.271
HRV,1995,0.447
CUB,1995,1.047
CYP,1995,0.095
CZE,1995,1.058
DNK,1995,1.305
DJI,1995,0.763
DMA,1995,0.591
DOM,1995,0.786
ECU,1995,0.694
EGY,1995,0.156
SLV,1995,0.636
GNQ,1995,0.921
ERI,1995,
EST,1995,1.735
SWZ,1995,0.546
ETH,1995,0.815
FLK,1995,
FRO,1995,-0.219
FJI,1995,0.285
FIN,1995,1.724
FRA,1995,1.299
PYF,1995,0.441
GAB,1995,0.599
GMB,1995,1.055
GEO,1995,0.746
DEU,1995,1.308
GHA,1995,0.761
GIB,1995,1.344
GRC,1995,-0.001
GRL,1995,-0.345
GRD,1995,0.595
GLP,1995,0.526
GTM,1995,0.675
GUF,1995,0.833
GIN,1995,0.682
GNB,1995,1.016
GUY,1995,0.932
HTI,1995,0.889
VAT,1995,0.228
HND,1995,0.9
HUN,1995,0.65
ISL,1995,-0.349
IND,1995,0.208
IDN,1995,0.344
IRN,1995,0.692
IRQ,1995,0.276
IRL,1995,1.182
IMN,1995,1.153
ISR,1995,-0.23
ITA,1995,0.436
JAM,1995,0.932
JPN,1995,0.323
JOR,1995,-0.154
KAZ,1995,2.026
KEN,1995,0.376
KIR,1995,0.355
PRK,1995,0.739
KOR,1995,0.446
KWT,1995,0.192
KGZ,1995,0.46
LAO,1995,0.623
LVA,1995,1.61
LBN,1995,0.011
LSO,1995,0.709
LBR,1995,0.75
LBY,1995,0.26
LIE,1995,0.911
LTU,1995,1.521
LUX,1995,
MDG,1995,0.347
MWI,1995,0.74
MYS,1995,0.431
MDV,1995,0.707
MLI,1995,0.647
MLT,1995,0.42
MHL,1995,0.045
MTQ,1995,0.586
MRT,1995,1.171
MUS,1995,0.577
MYT,1995,0.314
MEX,1995,0.77
FSM,1995,0.042
MDA,1995,0.603
MCO,1995,0.665
MNG,1995,1.293
MNE,1995,
MSR,1995,0.522
MAR,1995,1.121
MOZ,1995,0.564
MMR,1995,0.661
NAM,1995,0.752
NRU,1995,
NPL,1995,0.354
NLD,1995,1.548
NCL,1995,0.448
NZL,1995,0.095
NIC,1995,0.756
NER,1995,0.585
NGA,1995,0.448
NIU,1995,
NFK,1995,0.463
MKD,1995,-0.018
NOR,1995,0.959
OMN,1995,0.321
PAK,1995,-0.051
PLW,1995,0.476
PAN,1995,0.19
PNG,1995,0.802
PRY,1995,0.548
PER,1995,0.881
PHL,1995,0.492
PCN,1995,-0.153
POL,1995,1.114
PRT,1995,1.673
PRI,1995,0.565
QAT,1995,0.145
ROU,1995,0.416
RUS,1995,2.113
RWA,1995,
SHN,1995,0.656
SPM,1995,-0.19
WSM,1995,0.728
SMR,1995,0.389
STP,1995,0.763
SAU,1995,0.138
SEN,1995,1.016
SRB,1995,
SYC,1995,0.496
SLE,1995,0.738
SGP,1995,0.571
SVK,1995,0.704
SVN,1995,0.846
SLB,1995,0.359
SOM,1995,0.672
ZAF,1995,0.644
SSD,1995,
ESP,1995,1.474
LKA,1995,0.68
KNA,1995,0.522
LCA,1995,0.558
VCT,1995,0.596
SDN,1995,
SUR,1995,1.017
SWE,1995,1.28
CHE,1995,0.993
SYR,1995,0.128
TWN,1995,0.126
TJK,1995,0.319
TZA,1995,0.268
THA,1995,0.698
TLS,1995,0.309
TGO,1995,0.552
TKL,1995,
TON,1995,0.357
TTO,1995,0.592
TUN,1995,0.687
TUR,1995,0.147
TKM,1995,1.378
TCA,1995,
TUV,1995,0.383
UGA,1995,0.475
UKR,1995,0.946
ARE,1995,0.023
GBR,1995,1.111
USA,1995,0.629
VIR,1995,0.451
URY,1995,0.315
UZB,1995,1.386
VUT,1995,0.268
VEN,1995,0.518
VNM,1995,0.354
WLF,1995,0.347
PSE,1995,-0.246
ESH,1995,1.291
WLD,1995,0.836
YEM,1995,
ZMB,1995,0.705
ZWE,1995,0.792
AFG,1996,-0.064
ALB,1996,0.014
DZA,1996,0.866
ASM,1996,0.743
AND,1996,0.523
AGO,1996,0.455
AIA,1996,0.229
ATG,1996,0.274
ARG,1996,0.476
ARM,1996,0.514
ABW,1996,0.727
AUS,1996,0.559
AUT,1996,-0.183
AZE,1996,0.246
BHS,1996,0.115
BHR,1996,0.68
BGD,1996,0.242
BRB,1996,0.198
BLR,1996,-0.275
BEL,1996,
BLZ,1996,0.113
BEN,1996,0.772
BTN,1996,0.204
BOL,1996,0.427
BIH,1996,-0.022
BWA,1996,-0.175
BRA,1996,0.506
VGB,1996,0.185
BRN,1996,0.221
BGR,1996,-0.329
BFA,1996,0.989
BDI,1996,
CPV,1996,1.684
KHM,1996,0.239
CMR,1996,0.525
CAN,1996,-0.124
CYM,1996,0.46
CAF,1996,0.267
TCD,1996,0.684
CHL,1996,0.153
HKG,1996,0.009
MAC,1996,0.009
CHN,1996,0.212
COL,1996,0.057
COM,1996,-0.135
COD,1996,0.036
COG,1996,0.078
COK,1996,0.404
CRI,1996,-0.194
HRV,1996,-0.011
CUB,1996,0.205
CYP,1996,0.288
CZE,1996,-0.588
DNK,1996,-0.747
DJI,1996,0.869
DMA,1996,0.365
DOM,1996,0.553
ECU,1996,0.029
EGY,1996,0.391
SLV,1996,0.183
GNQ,1996,0.466
ERI,1996,0.134
EST,1996,-0.368
SWZ,1996,-0.104
ETH,1996,0.775
