Country,ISO,Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Bahamas, The",BHS,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2222853784,2232011651,2146450831,1989541731,1973158179,2116548064,2180954947,2403559063,3907235681,3446181152,4023392693,4244013942,4083748445,3970569368,3984083941,4125124235,4714107381,5289610989,5094731368,4794275164,4208953127,4192469377,4505459186,4330855805,4384730166,4596584021,4323700000,4613724670,4984153605,4950529207,4735031760,2655162580
"Bahamas, The",BHS,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2888806125,2909843784,2734542029,2702123932,2813893252,2790455283,2862520507,2966006961,3216468770,3388657843,3552362944,3736889309,3756366907,3756366907,3781741086,4224095768,4133692618,4214057143,4153980857,4062544973,3933508663,3983646266,4233901195,4538957689,4578323758,4328990517,4389300000,4198510599,4091261659,4570717056,4486943397,2524281138
Bahrain,BHR,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,6394.751056,5971.577693,8495.334555,9009.170014,8000.735349,9584.526302,8188.924329,7844.442109,8813.951996,7794.599566,8295.063081,9070.954235,8502.952446,8832.992415,9921.700506,10261.53576,9523.739312,10493.58768,10248.56521,10555.35593,10108.41334,10837.8304,11142.38212,11555.4941,11408.53968,11109.80522,12181.28275,12406.8115,11851.61969,11988.79343,11738.12917,11548.67508,11566.54484,10894.98895,11675.55111,11604.14034,11233.86368,11318.21701,10339.19963,10207.83502,9912.695898,9659.611737,10419.81584,10596.56621,..,..,..,..,..,..
Bahrain,BHR,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8392339366,8130381663,9683466357,9724688834,9820558948,10663920703,10944846316,11431048727,13465489406,11692672194,13716222340,19389521517,24760643222,25527771247,23642093577,22301861702,21598600665,23240564363,24570936266,23202879220,..
Bahrain,BHR,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13287664631,12961123401,14748486616,14899223742,15590809287,16326390989,16646072325,16721324838,16834874122,16893698995,17337993128,22606906857,27310059924,27128788537,26025274144,25805319149,25093953386,26019858439,26957316997,27032105306,..
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,86.76523941,88.14653311,93.92630048,95.45437737,96.0096657,99.85994046,99.70555075,100.4137798,101.5859735,105.5050724,104.8616054,107.9161792,107.6724738,106.4292402,109.6351226,114.3357249,109.6349319,117.3988645,120.1679567,123.4619791,118.8982674,122.7269488,126.79891,129.6307985,138.0581336,135.9485331,139.0510786,141.9769719,140.9798597,143.0538058,153.5600603,154.3926623,159.8950032,160.2451072,163.9427353,173.3027676,178.8510364,185.5821153,193.0731169,206.7611552,212.0582864,219.9726616,222.061405,229.2505403,..,..,..,..,..,..
Bangladesh,BGD,Imports of goods and services (constant 2015 US$),6050892188,8006169829,7944495541,9290857836,10806799121,10763180003,11200085088,13085822658,12366393983,13363340003,14948464287,11718866440,11705994604,5806697060,3638638802,3244740710,4465700273,2470724735,3919970864,4349730698,5804206661,2756330833,3015549203,2890481637,2703518281,2899305358,2778736158,2937173817,3157247748,3632322833,3970590458,3374309256,3077685086,4229321180,3970863883,5892618861,6724041492,6928534129,7238306855,7405191651,8163033381,9211871249,8765332797,9514729162,17578413340,24269247327,28683932320,33269355819,32636828007,31788383084,32006596023,41337467665,45685573660,46242093182,46782350593,48280651359,44856643271,46146488365,58611793185,57427255512,51432412569
Bangladesh,BGD,Exports of goods and services (constant 2015 US$),803974740.2,711508755.9,859477984.8,900996004.7,934716754.6,886206154,1013221169,894003353.7,929765143.6,972513641,1074451024,777708055.4,599697722.8,1113910321,785972084.5,881660284.4,1100028708,1380033861,1274201404,1484501884,1498680109,1022594302,977030083.9,1067267898,1057186057,1140690771,1127580817,1149009180,1271719072,1384917119,1631244400,1580813694,1926151802,2241904251,2324369763,3038511612,3283883413,3754062580,4214594037,4309451451,4929933025,5664684803,5655389199,5559451992,10319082977,14756419406,18515810527,20918348607,22399495142,22405880001,22616838572,29252421055,32918410134,33725531476,34805136081,33820154153,34563098269,33753418288,36483509044,40474022685,33091928077
Barbados,BRB,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1233.988495,..,..,..,..,..,..,..,..,..,..,..,..,..,1362.2345,1411.407064,1434.363456,1438.817945,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2031609600,..,..,..,..,..
Barbados,BRB,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1954045850,..,..,..,..,..
Belarus,BLR,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4465.222505,4348.446594,3620.56542,3076.685728,2615.750827,2427.709661,2501.454934,2505.497392,2465.439657,2411.568947,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.377967,2917.907033,2932.103273,2790.777881,2902.105435,3101.431115,3228.473004,2888.460292,2936.577547,..,..,..,..,..,..
Belarus,BLR,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25743665432,25795152013,14703236741,11674370638,10343491314,7095635348,7861963432,9945383851,9756422685,9736909267,11041655408,12452435128,13723200267,15562176441,18573553147,18369202789,22334792976,23970997856,27926267663,25378672491,28481315594,33750359909,37429162981,35857139639,36576801981,32689583072,32231890793,35824302196,38439535329,40399951631,37491155096
Belarus,BLR,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23363619913,23106620621,15250368497,11834287284,11692275872,9119975090,9831332031,13164154035,12071529459,12916535940,14556936789,16462733306,17846528701,19380030089,21996437570,21402538158,23151653126,24448279314,24961716564,23006654984,24771080356,32301515220,35919280853,30675065556,32075707069,32749824187,33601306226,36106440839,37478555581,37853341137,36679887569
Belgium,BEL,Energy use (kg of oil equivalent per capita),2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4809.867268,5006.004706,5040.67044,4902.269974,5186.186627,5267.670671,5536.471275,5523.459164,5603.160264,5612.714676,5669.358176,5634.215487,5390.719733,5590.025976,5592.98875,5555.615784,5470.491824,5336.963212,5454.667159,5196.581983,5539.472223,5092.316147,4845.488295,4997.463306,4708.221218,4687.787049,..,..,..,..,..
Belgium,BEL,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,57470389809,59564933400,65264748096,77395185950,80813293163,73473513621,82573583991,86513107858,88821544960,96776307575,94917241042,93080399098,94341401371,93178897537,99135376903,99539113809,1.04107E+11,1.11137E+11,1.22718E+11,1.34613E+11,1.41167E+11,1.45204E+11,1.51182E+11,1.50636E+11,1.61603E+11,1.6912E+11,1.78514E+11,1.93156E+11,2.02926E+11,2.09771E+11,2.37074E+11,2.35283E+11,2.37768E+11,2.41238E+11,2.56452E+11,2.72933E+11,2.86967E+11,3.02977E+11,3.14506E+11,2.80354E+11,3.07514E+11,3.24812E+11,3.2262E+11,3.2193E+11,3.39728E+11,3.53023E+11,3.79329E+11,3.99127E+11,4.04624E+11,4.11296E+11,3.86847E+11
